Company,Model,RMSE,MAE,MASE,MAPE,Directional Accuracy
Freeport-McMoRan,Random Forest,1.660091063568865,1.0612364579407012,1.322286538679811,2.3395573252550954,47.2630173564753
Freeport-McMoRan,Random Walk,1.1213073322391738,0.8018933333333335,0.9991484481990891,1.8579536773678722,47.396528704939925
Freeport-McMoRan,Random Walk + Drift,1.121464590076208,0.8019670763252045,0.9992403309880221,1.85809656918173,47.396528704939925
Freeport-McMoRan,Selected ARX,1.1218359504270334,0.8016676229681983,0.9988672160804358,1.8571787726684683,47.53004005340454
Freeport-McMoRan,VMD-GRU,2.189733299687221,1.6056970761609113,2.00067724126732,3.635950593064443,47.66355140186916
Freeport-McMoRan,VMD-LASSO-ARX/LSTM,1.8235458404407259,1.4035420909959062,1.7487948133592135,3.2689396507669075,48.46461949265687
Freeport-McMoRan,VMD-LSTM,2.2408696484618096,1.630267053212981,2.031291106507746,3.72661758714215,50.60080106809078
Freeport-McMoRan,XGBoost,1.6953847154486388,1.0513686683146157,1.3099914038006188,2.3056932275664908,46.461949265687586
Ganfeng Lithium,ARIMA,0.19651859204552488,0.1304968969481067,1.0083997999894418,2.0408221850060935,42.72363150867824
Ganfeng Lithium,CEEMDAN-LSTM,0.5326124277136187,0.38898634588651493,3.0058473616163366,6.042812967249651,44.85981308411215
Ganfeng Lithium,Elastic Net,0.19576505006491382,0.12942775338260018,1.000138115743835,2.0268910963268456,44.05874499332443
Ganfeng Lithium,GRU,0.2917344986069786,0.207697973467049,1.6049622619430666,3.2823649768054555,43.79172229639519
Ganfeng Lithium,Histogram Gradient Boosting,0.23283862755967305,0.15573440997127097,1.2034197865176275,2.394790942135417,42.323097463284384
Ganfeng Lithium,LASSO,0.19576505006491382,0.12942775338260018,1.000138115743835,2.0268910963268456,44.05874499332443
Ganfeng Lithium,LSTM,0.3031142922691165,0.22195523689274443,1.7151336294092618,3.561967465949429,43.65821094793058
Ganfeng Lithium,LightGBM,0.2483216341337632,0.16879780852359724,1.304365700140283,2.595413924306394,43.79172229639519
Ganfeng Lithium,Random Forest,0.22216497015806455,0.1524935763483801,1.1783766164994025,2.36870091062963,44.85981308411215
Ganfeng Lithium,Random Walk,0.1961844778093653,0.12958133333333333,1.001324887193759,2.026116543949764,47.2630173564753
Ganfeng Lithium,Random Walk + Drift,0.19622297490774843,0.12986077362180296,1.003484229964291,2.0308158878394393,46.99599465954606
Ganfeng Lithium,Selected ARX,0.19725744886137497,0.1335583980465232,1.0320571984986058,2.0938770574046104,42.590120160213615
Ganfeng Lithium,VMD-GRU,0.38052464082842913,0.2756792947666321,2.130280123169898,4.276333417647865,43.257676902536716
Ganfeng Lithium,VMD-LASSO-ARX/LSTM,0.5824929146306461,0.38693355793179596,2.989984678201094,6.1242588540414085,46.728971962616825
Ganfeng Lithium,VMD-LSTM,0.3499364058454441,0.24814227678910675,1.9174909759161929,3.9568378701486364,43.925233644859816
Ganfeng Lithium,XGBoost,0.22936305894947856,0.15213141353861487,1.1755780449358495,2.342847216606459,42.857142857142854
Glencore,ARIMA,0.10570262928555149,0.07877877873329547,1.0052011119333117,1.540774112139322,47.930574098798395
Glencore,CEEMDAN-LSTM,0.298340921894708,0.2261681399463006,2.885859230283094,4.375701820199611,47.2630173564753
Glencore,Elastic Net,0.10579540925520557,0.07862371247698045,1.003222498202844,1.537078508563255,48.46461949265687
Glencore,GRU,0.14907098049817818,0.11687338181077019,1.4912804595425875,2.2993578704108906,46.99599465954606
Glencore,Histogram Gradient Boosting,0.1118926505400731,0.0838561664365727,1.0699875410594808,1.6318348420437598,48.598130841121495
Glencore,LASSO,0.10579540925520557,0.07862371247698045,1.003222498202844,1.537078508563255,48.46461949265687
Glencore,LSTM,0.17684505947338602,0.13831718928156264,1.7648990591238243,2.7115170324555136,44.99332443257677
Glencore,LightGBM,0.11998869948459819,0.08918816178419373,1.1380227116781723,1.735539189385868,49.799732977303066
Glencore,Random Forest,0.1175763855554229,0.08946908954008982,1.1416072924134957,1.742865688531231,47.53004005340454
