Company,Model,Strategy,Cost,Annualized Return,Sharpe,Sortino,Calmar,Max Drawdown (%),Turnover,Hit Rate (%),Final Equity,Factor Status,Factor Frequency,CAPM alpha,CAPM alpha p-value,FF3 alpha,FF3 alpha p-value,FF5 alpha,FF5 alpha p-value
Freeport-McMoRan,XGBoost,Uncertainty-adjusted,0.001,-0.07031187547276618,-0.5181519097202718,-0.7116833222873358,-0.3398278536543385,-20.69043920816599,0.036,2.8000000000000003,0.8049441058969068,Evaluated from north_america_ff5.csv (daily),daily,-0.10778460184203648,0.11548903425446616,-0.11707888427812681,0.08329637562380884,-0.11595361803455374,0.08921699325228248
Freeport-McMoRan,XGBoost,Directional (no uncertainty),0.001,-0.24642637261757372,-0.48276497650293265,-0.6870861956552963,-0.40255669008148437,-61.215321640212416,0.78,48.266666666666666,0.4308267415593286,Evaluated from north_america_ff5.csv (daily),daily,-0.2639622337104656,0.33189254505711563,-0.3178470482390489,0.2546682156993607,-0.3012932803079846,0.2757166798757632
Freeport-McMoRan,XGBoost,Uncertainty-adjusted,0.0025,-0.08298529146385325,-0.6223492360076288,-0.8459168310596917,-0.3617654035432668,-22.938979419000272,0.036,2.8000000000000003,0.7727245445318027,Evaluated from north_america_ff5.csv (daily),daily,-0.12147109702672497,0.07750205784758257,-0.1310532211259284,0.05408948083077927,-0.129960593416576,0.05851245654458802
Freeport-McMoRan,XGBoost,Directional (no uncertainty),0.0025,-0.43985277011405277,-1.1910249559488832,-1.639813523912075,-0.5269161350021889,-83.47680795772662,0.78,48.266666666666666,0.17819658739046923,Evaluated from north_america_ff5.csv (daily),daily,-0.5593841507351025,0.04065544069766742,-0.613308937530497,0.028359144612071688,-0.5964273688374017,0.03140140870967537
Freeport-McMoRan,XGBoost,Uncertainty-adjusted,0.005,-0.10376636645490245,-0.790878735157063,-1.056076156117533,-0.37294666261211884,-27.823379817404103,0.036,2.8000000000000003,0.721766201825959,Evaluated from north_america_ff5.csv (daily),daily,-0.14428192233453918,0.038812427925079045,-0.15434378253893108,0.025849543781832976,-0.1533055523866131,0.02843667804602139
Freeport-McMoRan,XGBoost,Directional (no uncertainty),0.005,-0.6590201262808623,-2.3340327808321106,-3.0436909946898885,-0.6858734861241712,-96.08479400551614,0.78,48.266666666666666,0.04067351847675456,Evaluated from north_america_ff5.csv (daily),daily,-1.051754012442831,0.00014615571174791462,-1.10574541968291,9.1214736685963e-05,-1.0883175163864307,0.00010173017564781124
Ganfeng Lithium,ARIMA,Uncertainty-adjusted,0.0,0.09227139562278008,0.5116845084532001,0.7087019992768835,0.41968498884070543,-21.985869896767355,0.188,9.866666666666667,1.300406253002932,Evaluated from emerging_monthly_ff5.csv (monthly),monthly,0.06310420184099115,0.40335905630693036,0.02246731745156732,0.793727014527189,0.020828585016734198,0.811692868588246
Ganfeng Lithium,ARIMA,Directional (no uncertainty),0.0,0.0203407385891885,0.27554468428872314,0.3875111962087488,0.040951294280944045,-49.67056340061442,0.5213333333333333,47.46666666666667,1.0617626912773075,Evaluated from emerging_monthly_ff5.csv (monthly),monthly,0.1148353995429314,0.7294278753574941,0.13323338948824637,0.6886246597232053,0.15734052651016514,0.6605659755635367
Ganfeng Lithium,ARIMA,Uncertainty-adjusted,0.001,0.04162599111169141,0.29626720330738604,0.40591948877733625,0.17449951041009162,-23.854503095089544,0.188,9.866666666666667,1.1290514022847227,Evaluated from emerging_monthly_ff5.csv (monthly),monthly,0.013470166725705203,0.8496004241751604,-0.022102592260141624,0.7871908604333246,-0.023784762953460475,0.7768676438977631
Ganfeng Lithium,ARIMA,Directional (no uncertainty),0.001,-0.10532147283781323,-0.00849840663343016,-0.011806484962145777,-0.1944995606114912,-54.149979828587206,0.5213333333333333,47.46666666666667,0.7180452734191943,Evaluated from emerging_monthly_ff5.csv (monthly),monthly,-0.02063089226878008,0.9487774908146329,-0.004621336974653809,0.988509442252572,0.016382798242442913,0.9622321297201686
Ganfeng Lithium,ARIMA,Uncertainty-adjusted,0.0025,-0.030061238458115258,-0.025323947581127115,-0.034122827977495544,-0.11310892759073962,-26.577246463590743,0.188,9.866666666666667,0.9131635284580156,Evaluated from emerging_monthly_ff5.csv (monthly),monthly,-0.06045858158081956,0.3661487609191778,-0.08852112973262141,0.2516446406154187,-0.09026515975329835,0.26026343875549596
Ganfeng Lithium,ARIMA,Directional (no uncertainty),0.0025,-0.2657649520469628,-0.43393575116782884,-0.5917883494234664,-0.4079203302197639,-65.15119065131762,0.5213333333333333,47.46666666666667,0.39874911841888966,Evaluated from emerging_monthly_ff5.csv (monthly),monthly,-0.22113529899195666,0.4689083901477715,-0.20858948363772126,0.4926244039310811,-0.19209592467729375,0.5581152749455596
Ganfeng Lithium,ARIMA,Uncertainty-adjusted,0.005,-0.13895372057010813,-0.5531130994632891,-0.7243055129922173,-0.3486671574852513,-39.85282742782733,0.188,9.866666666666667,0.6406583217307884,Evaluated from emerging_monthly_ff5.csv (monthly),monthly,-0.18229493797691662,0.007058149429588699,-0.19806642450609477,0.00725831423674923,-0.19990511423035734,0.01068903696362247
Ganfeng Lithium,ARIMA,Directional (no uncertainty),0.005,-0.472520155755802,-1.1349962360371255,-1.500444111888673,-0.5454100135712459,-86.63576832075849,0.5213333333333333,47.46666666666667,0.1490156061791472,Evaluated from emerging_monthly_ff5.csv (monthly),monthly,-0.548245790709476,0.05041629096583352,-0.5411655111092294,0.05093610582611714,-0.5318169787284603,0.07573959214840265
Ganfeng Lithium,CEEMDAN-LSTM,Uncertainty-adjusted,0.0,0.027309298328635156,0.24813142900046553,0.3335338707759605,0.10183781539648654,-26.816461274538835,0.04,4.133333333333333,1.0834903721104585,Evaluated from emerging_monthly_ff5.csv (monthly),monthly,0.006107334756393839,0.9136746675874029,0.014164792730440497,0.8351988121138021,0.023487286585103958,0.703219144518236
Ganfeng Lithium,CEEMDAN-LSTM,Directional (no uncertainty),0.0,-0.39356591021679455,-0.8489608191585591,-1.1217977058622877,-0.4705626544563273,-83.63730238463309,0.19866666666666666,45.86666666666667,0.225695364062265,Evaluated from emerging_monthly_ff5.csv (monthly),monthly,-0.437469673855313,0.004293464090367755,-0.33881785623615834,0.06225761125460171,-0.2873779952333604,0.03870321501971484
Ganfeng Lithium,CEEMDAN-LSTM,Uncertainty-adjusted,0.001,0.017000194374281463,0.1860400696048002,0.24927273889309645,0.06305025790766958,-26.962925987037906,0.04,4.133333333333333,1.051450416564961,Evaluated from emerging_monthly_ff5.csv (monthly),monthly,-0.0036326527587365806,0.9482197855305592,0.005464123651711341,0.9346229195583634,0.014679456492669142,0.8060629221181156
