Target,Candidate,Method,Configured Modes,Returned Component,VMD Alpha,Selected Route,Development RMSE,Development MAE,Selection Score,ARIMA Order,Selected Feature Count,Selected Features
lithium_hydroxide,VMD-K8-A3000,VMD,8,8,3000.0,ARIMA,0.0027239781581621966,0.0007342821336172397,0.19429129271706486,"(2, 0, 4)",8,target_1 | target_2 | target_3 | target_5 | News_Article_Count | News_FinBERT_Score | VIX | Cross_Lithium_Close
lithium_hydroxide,VMD-K8-A3000,VMD,8,9,3000.0,SVR,0.03997688452328935,0.0297209777379814,1.0710061122875945,,5,target_1 | target_3 | target_4 | Cross_Lithium_Close | target_2
lithium_hydroxide,VMD-K8-A4500,VMD,8,1,4500.0,ARIMA,0.5586865916027315,0.060753844302593424,0.8894151811849624,"(2, 2, 2)",4,target_1 | Cross_Lithium_Close | Ganfeng_Lithium_Close | Albemarle_Close
lithium_hydroxide,VMD-K8-A4500,VMD,8,2,4500.0,RF,0.14222081534827472,0.13718359816838968,0.5230235828336136,,1,target_1
lithium_hydroxide,VMD-K8-A4500,VMD,8,3,4500.0,RF,0.010644666439052972,0.008693902867763226,0.07041551637423026,,4,target_1 | target_5 | Ganfeng_Lithium_Close | Cross_Lithium_Close
lithium_hydroxide,VMD-K8-A4500,VMD,8,4,4500.0,RF,0.006641808179946572,0.0053803036132287355,0.5063149152091582,,10,target_1 | target_2 | target_4 | target_5 | News_TextBlob_Polarity | Trends_lithium_hydroxide | Cross_Lithium_Close | VIX | News_Article_Count | News_FinBERT_Score
lithium_hydroxide,VMD-K8-A4500,VMD,8,5,4500.0,ARIMA,0.001414398379376888,0.0009856443194924318,0.09779622937134524,"(5, 0, 0)",10,target_2 | target_4 | target_3 | target_1 | Trends_lithium_hydroxide | News_TextBlob_Polarity | Cross_Lithium_Close | VIX | News_Article_Count | Trends_lithium_carbonate
lithium_hydroxide,VMD-K8-A4500,VMD,8,6,4500.0,ARIMA,0.00136323994033267,0.0009956181895432131,0.15404470092714265,"(4, 0, 3)",12,target_2 | target_1 | target_5 | target_3 | target_4 | News_Article_Count | VIX | Cross_Lithium_Close | US_Dollar_Index | News_TextBlob_Polarity | News_FinBERT_Score | Trends_lithium_hydroxide
lithium_hydroxide,VMD-K8-A4500,VMD,8,7,4500.0,ARIMA,0.0011068534711817918,0.0008183259878167161,0.11883523746571677,"(5, 0, 3)",10,target_1 | target_2 | target_4 | target_5 | VIX | Trends_lithium_hydroxide | News_TextBlob_Polarity | Cross_Lithium_Close | News_FinBERT_Score | US_Dollar_Index
lithium_hydroxide,VMD-K8-A4500,VMD,8,8,4500.0,SVR,0.0017143531585449723,0.0012812739832159445,0.18604765859444677,,7,target_1 | target_2 | target_3 | target_5 | News_FinBERT_Score | News_Article_Count | Cross_Lithium_Close
lithium_hydroxide,VMD-K8-A4500,VMD,8,9,4500.0,SVR,0.04793912282408459,0.03304754546525502,0.9350521864899344,,6,target_1 | target_2 | target_3 | target_4 | target_5 | Cross_Lithium_Close
lithium_hydroxide,VMD-K9-A1500,VMD,9,1,1500.0,RF,0.030068160055447504,0.023861322042275205,0.3343974566694814,,6,target_1 | Cross_Lithium_Close | target_4 | target_5 | target_3 | target_2
lithium_hydroxide,VMD-K9-A1500,VMD,9,2,1500.0,ARIMA,0.019175226727179695,0.0023262548698780284,0.04490085411436315,"(2, 2, 2)",2,target_1 | SP500
lithium_hydroxide,VMD-K9-A1500,VMD,9,3,1500.0,RF,0.010637434518502896,0.008420357113504607,0.07330117481348503,,4,target_1 | target_5 | Cross_Lithium_Close | Ganfeng_Lithium_Close
lithium_hydroxide,VMD-K9-A1500,VMD,9,4,1500.0,ARIMA,0.00584692601224992,0.0015604898297561839,0.1351175372356783,"(5, 0, 3)",10,target_1 | target_3 | target_2 | target_5 | News_FinBERT_Score | News_Article_Count | VIX | News_TextBlob_Polarity | Trends_lithium_carbonate | Cross_Lithium_Close
lithium_hydroxide,VMD-K9-A1500,VMD,9,5,1500.0,RF,0.008844826736462372,0.0071753319522543215,0.584677807795711,,7,target_1 | target_2 | target_4 | target_5 | VIX | News_TextBlob_Polarity | Cross_Lithium_Close
lithium_hydroxide,VMD-K9-A1500,VMD,9,6,1500.0,ARIMA,0.0033867377613603063,0.001758328290361526,0.19100420346354055,"(4, 0, 4)",7,target_2 | target_4 | target_5 | target_1 | VIX | Cross_Lithium_Close | News_Article_Count
lithium_hydroxide,VMD-K9-A1500,VMD,9,7,1500.0,ARIMA,0.0020084755821856157,0.0014157479586938602,0.17452115792231532,"(4, 0, 5)",4,target_2 | target_1 | target_5 | News_FinBERT_Score
lithium_hydroxide,VMD-K9-A1500,VMD,9,8,1500.0,ARIMA,0.0020689449599117222,0.0012243599771467426,0.14693232077558022,"(5, 0, 3)",4,target_1 | target_2 | News_FinBERT_Score | Cross_Lithium_Close
lithium_hydroxide,VMD-K9-A1500,VMD,9,9,1500.0,RF,0.0028205673002199404,0.002237108512740683,0.21685979466963975,,9,target_1 | target_2 | target_3 | target_5 | News_FinBERT_Score | Cross_Lithium_Close | News_TextBlob_Polarity | News_Article_Count | VIX
lithium_hydroxide,VMD-K9-A1500,VMD,9,10,1500.0,ARIMA,0.024172779825486806,0.017886470140949337,1.0399283843486904,"(5, 0, 3)",6,target_1 | target_5 | target_2 | target_3 | target_4 | Cross_Lithium_Close
lithium_hydroxide,VMD-K9-A3000,VMD,9,1,3000.0,ARIMA,0.7275172364867383,0.08648390859854092,1.8581951691844272,"(5, 2, 0)",2,target_1 | Cross_Lithium_Close
lithium_hydroxide,VMD-K9-A3000,VMD,9,2,3000.0,SVR,0.011815060267765212,0.00934143100539872,0.13988397020582438,,1,target_1
lithium_hydroxide,VMD-K9-A3000,VMD,9,3,3000.0,RF,0.01110481468123677,0.008532275009282485,0.07432989419699113,,4,target_1 | target_5 | Cross_Lithium_Close | Ganfeng_Lithium_Close
lithium_hydroxide,VMD-K9-A3000,VMD,9,4,3000.0,RF,0.007357517310190296,0.00558628816958678,0.20588983315412682,,9,target_1 | target_3 | target_5 | News_FinBERT_Score | News_TextBlob_Polarity | News_Article_Count | Trends_lithium_carbonate | Trends_lithium | Cross_Lithium_Close
lithium_hydroxide,VMD-K9-A3000,VMD,9,5,3000.0,SVR,0.005609020228350126,0.0038345052501649723,0.4068320622451786,,8,target_1 | target_2 | target_4 | target_5 | VIX | News_TextBlob_Polarity | Cross_Lithium_Close | News_FinBERT_Score
