Target,Mode,Selected Features,LASSO Alpha,Validation MSE,Model,ARIMA Order,Route
lithium_hydroxide,5,target_1 | target_2 | target_4 | target_5 | VIX | News_TextBlob_Polarity | Cross_Lithium_Close | News_FinBERT_Score,0.0011,0.0001698709294352,Fixed VMD-LASSO-ARIMA/LSTM,,LSTM
lithium_hydroxide,6,target_2 | target_4 | target_3 | Cross_Lithium_Close | VIX | News_Article_Count | News_TextBlob_Polarity,0.0026000000000000007,0.0003164043850527,Fixed VMD-LASSO-ARIMA/LSTM,,LSTM
lithium_hydroxide,7,target_2 | target_1 | target_5 | target_4 | News_FinBERT_Score | VIX | Cross_Lithium_Close,0.0021000000000000003,0.0004569451105374,Fixed VMD-LASSO-ARIMA/LSTM,,LSTM
lithium_hydroxide,8,target_1 | target_2 | News_FinBERT_Score | Cross_Lithium_Close | VIX | News_TextBlob_Polarity,0.0015000000000000002,0.0001897181694167,Fixed VMD-LASSO-ARIMA/LSTM,,LSTM
lithium_hydroxide,9,target_1 | target_3 | target_2 | target_5 | News_FinBERT_Score | News_Article_Count | Cross_Lithium_Close,0.001,0.0001258905943856,Fixed VMD-LASSO-ARIMA/LSTM,,LSTM
lithium_hydroxide,Residual,target_1 | target_5 | target_3 | target_2 | target_4 | Cross_Lithium_Close,0.03950000000000002,0.0241231275026624,Fixed VMD-LASSO-ARIMA/LSTM,,LSTM
lithium_hydroxide,VMD-K7-A1500 / C1,target_1 | Cross_Lithium_Close | target_5 | target_4 | target_3 | target_2,development-locked,,Proposed Adaptive Decomposition-Routing Ensemble,,RF
lithium_hydroxide,VMD-K7-A1500 / C2,target_1 | SP500,development-locked,,Proposed Adaptive Decomposition-Routing Ensemble,"(2, 2, 1)",ARIMA
lithium_hydroxide,VMD-K7-A1500 / C3,target_1 | target_5 | Cross_Lithium_Close | Ganfeng_Lithium_Close,development-locked,,Proposed Adaptive Decomposition-Routing Ensemble,,RF
lithium_hydroxide,VMD-K7-A1500 / C4,target_1 | target_2 | target_3 | target_5 | VIX | News_Article_Count | News_TextBlob_Polarity | News_FinBERT_Score | Cross_Lithium_Close | Trends_lithium_carbonate,development-locked,,Proposed Adaptive Decomposition-Routing Ensemble,"(4, 0, 5)",ARIMA
lithium_hydroxide,VMD-K7-A1500 / C5,target_2 | target_1 | target_4 | target_5 | News_TextBlob_Polarity | News_Article_Count | VIX,development-locked,,Proposed Adaptive Decomposition-Routing Ensemble,,RF
