,^GSPC,000001.SS,CL=F,^VIX,DX-Y.NYB
,Close,Close,Close,Close,Close
Date,,,,,
2014-03-27,1849.0400390625,2046.5880126953125,101.27999877929688,14.619999885559082,80.11000061035156
2014-03-28,1857.6199951171875,2041.7120361328125,101.66999816894531,14.40999984741211,80.18000030517578
2014-03-31,1872.3399658203125,2033.3060302734375,101.58000183105469,13.880000114440918,80.0999984741211
2014-04-01,1885.52001953125,2047.4599609375,99.73999786376953,13.100000381469727,80.08000183105469
2014-04-02,1890.9000244140625,2058.988037109375,99.62000274658203,13.09000015258789,80.22000122070312
2014-04-03,1888.77001953125,2043.7020263671875,100.29000091552734,13.369999885559082,80.47000122070312
2014-04-04,1865.0899658203125,2058.8310546875,101.13999938964844,13.960000038146973,80.41999816894531
2014-04-07,1845.0400390625,,100.44000244140625,15.569999694824219,80.22000122070312
2014-04-08,1851.9599609375,2098.283935546875,102.55999755859375,14.890000343322754,79.75
2014-04-09,1872.1800537109375,2105.237060546875,103.5999984741211,13.819999694824219,79.4800033569336
2014-04-10,1833.0799560546875,2134.300048828125,103.4000015258789,15.890000343322754,79.37999725341797
2014-04-11,1815.68994140625,2130.5419921875,103.73999786376953,17.030000686645508,79.44999694824219
2014-04-14,1830.6099853515625,2131.5390625,104.05000305175781,16.110000610351562,79.7300033569336
2014-04-15,1842.97998046875,2101.60107421875,103.75,15.609999656677246,79.80000305175781
2014-04-16,1862.31005859375,2105.1220703125,103.76000213623047,14.180000305175781,79.81999969482422
2014-04-17,1864.8499755859375,2098.885009765625,104.30000305175781,13.359999656677246,79.83000183105469
2014-04-18,,2097.748046875,,,
2014-04-21,1871.8900146484375,2065.825927734375,104.37000274658203,13.25,79.94999694824219
2014-04-22,1879.550048828125,2072.8310546875,102.12999725341797,13.1899995803833,79.91000366210938
2014-04-23,1875.3900146484375,2067.382080078125,101.44000244140625,13.270000457763672,79.86000061035156
2014-04-24,1878.6099853515625,2057.032958984375,101.94000244140625,13.319999694824219,79.80000305175781
2014-04-25,1863.4000244140625,2036.51904296875,100.5999984741211,14.0600004196167,79.7699966430664
2014-04-28,1869.4300537109375,2003.487060546875,100.83999633789062,13.970000267028809,79.68000030517578
2014-04-29,1878.3299560546875,2020.3409423828125,101.27999877929688,13.710000038146973,79.80999755859375
2014-04-30,1883.949951171875,2026.3580322265625,99.73999786376953,13.40999984741211,79.48999786376953
2014-05-01,1883.6800537109375,,99.41999816894531,13.25,79.52999877929688
2014-05-02,1881.1400146484375,,99.76000213623047,12.90999984741211,79.5199966430664
2014-05-05,1884.6600341796875,2027.35302734375,99.4800033569336,13.289999961853027,79.48999786376953
2014-05-06,1867.719970703125,2028.0379638671875,99.5,13.800000190734863,79.13999938964844
2014-05-07,1878.2099609375,2010.0830078125,100.7699966430664,13.399999618530273,79.22000122070312
2014-05-08,1875.6300048828125,2015.2740478515625,100.26000213623047,13.430000305175781,79.43000030517578
2014-05-09,1878.47998046875,2011.135009765625,99.98999786376953,12.920000076293945,79.9000015258789
2014-05-12,1896.6500244140625,2052.87109375,100.58999633789062,12.229999542236328,79.9000015258789
2014-05-13,1897.449951171875,2050.72802734375,101.69999694824219,12.130000114440918,80.13999938964844
2014-05-14,1888.530029296875,2047.9100341796875,102.37000274658203,12.170000076293945,80.06999969482422
2014-05-15,1870.8499755859375,2024.9739990234375,101.5,13.170000076293945,80.0
2014-05-16,1877.8599853515625,2026.5040283203125,102.0199966430664,12.4399995803833,80.04000091552734
2014-05-19,1885.0799560546875,2005.1829833984375,102.61000061035156,12.420000076293945,79.98999786376953
2014-05-20,1872.8299560546875,2008.1190185546875,102.44000244140625,12.960000038146973,80.04000091552734
