Date,Close,High,Low
2011-08-03,0.541,0.541,0.541
2011-08-04,0.532,0.532,0.532
2011-08-05,0.489,0.489,0.489
2011-08-08,0.487,0.487,0.487
2011-08-09,0.446,0.446,0.446
2011-08-10,0.475,0.475,0.475
2011-08-11,0.492,0.492,0.492
2011-08-12,0.493,0.493,0.493
2011-08-15,0.507,0.507,0.507
2011-08-16,0.506,0.506,0.506
2011-08-17,0.506,0.506,0.506
2011-08-18,0.485,0.485,0.485
2011-08-19,0.484,0.484,0.484
2011-08-22,0.471,0.471,0.471
2011-08-23,0.481,0.481,0.481
2011-08-24,0.473,0.473,0.473
2011-08-25,0.459,0.459,0.459
2011-08-26,0.445,0.445,0.445
2011-08-30,0.456,0.456,0.456
2011-08-31,0.465,0.465,0.465
2011-09-01,0.463,0.463,0.463
2011-09-02,0.457,0.457,0.457
2011-09-05,0.44,0.44,0.44
2011-09-06,0.45,0.45,0.45
2011-09-07,0.455,0.455,0.455
2011-09-08,0.452,0.452,0.452
2011-09-09,0.449,0.449,0.449
2011-09-12,0.426,0.426,0.426
2011-09-13,0.426,0.426,0.426
2011-09-14,0.413,0.413,0.413
2011-09-15,0.416,0.416,0.416
2011-09-16,0.43,0.43,0.43
2011-09-19,0.414,0.414,0.414
2011-09-20,0.404,0.404,0.404
2011-09-21,0.39,0.39,0.39
2011-09-22,0.346,0.346,0.346
2011-09-23,0.319,0.319,0.319
2011-09-26,0.285,0.285,0.285
2011-09-27,0.301,0.301,0.301
2011-09-28,0.305,0.305,0.305
2011-09-29,0.305,0.305,0.305
2011-09-30,0.294,0.294,0.294
2011-10-03,0.279,0.279,0.279
2011-10-04,0.252,0.252,0.252
2011-10-05,0.252,0.252,0.252
2011-10-06,0.271,0.271,0.271
2011-10-07,0.316,0.316,0.316
2011-10-10,0.312,0.312,0.312
2011-10-11,0.357,0.357,0.357
2011-10-12,0.379,0.379,0.379
2011-10-13,0.409,0.409,0.409
2011-10-14,0.386,0.386,0.386
2011-10-17,0.404,0.404,0.404
2011-10-18,0.392,0.392,0.392
2011-10-19,0.392,0.392,0.392
2011-10-20,0.366,0.366,0.366
2011-10-21,0.355,0.355,0.355
2011-10-24,0.399,0.399,0.399
2011-10-25,0.413,0.413,0.413
2011-10-26,0.44,0.44,0.44
2011-10-27,0.46,0.46,0.46
2011-10-28,0.446,0.446,0.446
2011-10-31,0.434,0.434,0.434
2011-11-01,0.422,0.422,0.422
2011-11-02,0.439,0.439,0.439
2011-11-03,0.43,0.43,0.43
2011-11-04,0.457,0.457,0.457
2011-11-07,0.461,0.461,0.461
2011-11-08,0.488,0.488,0.488
2011-11-09,0.495,0.495,0.495
2011-11-10,0.449,0.449,0.449
2011-11-11,0.45,0.45,0.45
2011-11-14,0.465,0.465,0.465
2011-11-15,0.454,0.454,0.454
2011-11-16,0.432,0.432,0.432
2011-11-17,0.43,0.43,0.43
2011-11-18,0.416,0.416,0.416
2011-11-21,0.403,0.403,0.403
2011-11-22,0.399,0.399,0.399
2011-11-23,0.395,0.395,0.395
2011-11-24,0.404,0.404,0.404
2011-11-25,0.393,0.393,0.393
2011-11-28,0.398,0.398,0.398
2011-11-29,0.428,0.428,0.428
2011-11-30,0.418,0.418,0.418
2011-12-01,0.452,0.452,0.452
2011-12-02,0.456,0.456,0.456
2011-12-05,0.45,0.45,0.45
2011-12-06,0.43,0.43,0.43
2011-12-07,0.456,0.456,0.456
2011-12-08,0.449,0.449,0.449
2011-12-09,0.432,0.432,0.432
2011-12-12,0.429,0.429,0.429
2011-12-13,0.415,0.415,0.415
2011-12-14,0.402,0.402,0.402
2011-12-15,0.387,0.387,0.387
2011-12-16,0.388,0.388,0.388
2011-12-19,0.38,0.38,0.38
2011-12-20,0.374,0.374,0.374
2011-12-21,0.392,0.392,0.392
2011-12-22,0.383,0.383,0.383
2011-12-23,0.386,0.386,0.386
2011-12-28,0.377,0.377,0.377
2011-12-29,0.368,0.368,0.368
2011-12-30,0.376,0.376,0.376
2012-01-03,0.388,0.388,0.388
2012-01-04,0.382,0.382,0.382
2012-01-05,0.377,0.377,0.377
2012-01-06,0.373,0.373,0.373
2012-01-09,0.377,0.377,0.377
2012-01-10,0.388,0.388,0.388
2012-01-11,0.402,0.402,0.402
2012-01-12,0.403,0.403,0.403
2012-01-13,0.403,0.403,0.403
2012-01-16,0.393,0.393,0.393
2012-01-17,0.442,0.442,0.442
2012-01-18,0.434,0.434,0.434
2012-01-19,0.438,0.438,0.438
2012-01-20,0.437,0.437,0.437
2012-01-23,0.437,0.437,0.437
2012-01-24,0.437,0.437,0.437
2012-01-25,0.437,0.437,0.437
2012-01-26,0.462,0.462,0.462
2012-01-27,0.462,0.462,0.462
2012-01-30,0.442,0.442,0.442
2012-01-31,0.44,0.44,0.44
2012-02-01,0.449,0.449,0.449
2012-02-02,0.48,0.48,0.48
2012-02-03,0.488,0.488,0.488
2012-02-06,0.477,0.477,0.477
2012-02-07,0.467,0.467,0.467
2012-02-08,0.482,0.482,0.482
2012-02-09,0.484,0.484,0.484
2012-02-10,0.478,0.478,0.478
2012-02-13,0.469,0.469,0.469
2012-02-14,0.454,0.454,0.454
2012-02-15,0.468,0.468,0.468
2012-02-16,0.454,0.454,0.454
2012-02-17,0.464,0.464,0.464
2012-02-20,0.455,0.455,0.455
2012-02-21,0.462,0.462,0.462
2012-02-22,0.469,0.469,0.469
2012-02-23,0.471,0.471,0.471
2012-02-24,0.473,0.473,0.473
2012-02-27,0.468,0.468,0.468
2012-02-28,0.472,0.472,0.472
2012-02-29,0.48,0.48,0.48
2012-03-01,0.467,0.467,0.467
2012-03-02,0.477,0.477,0.477
2012-03-05,0.461,0.461,0.461
2012-03-06,0.438,0.438,0.438
2012-03-07,0.43,0.43,0.43
2012-03-08,0.438,0.438,0.438
2012-03-09,0.443,0.443,0.443
2012-03-12,0.446,0.446,0.446
2012-03-13,0.447,0.447,0.447
2012-03-14,0.432,0.432,0.432
2012-03-15,0.421,0.421,0.421
2012-03-16,0.415,0.415,0.415
2012-03-19,0.407,0.407,0.407
2012-03-20,0.394,0.394,0.394
2012-03-21,0.398,0.398,0.398
2012-03-22,0.395,0.395,0.395
2012-03-23,0.398,0.398,0.398
2012-03-26,0.396,0.396,0.396
2012-03-27,0.41,0.41,0.41
2012-03-28,0.401,0.401,0.401
2012-03-29,0.395,0.395,0.395
2012-03-30,0.397,0.397,0.397
2012-04-02,0.399,0.399,0.399
2012-04-03,0.401,0.401,0.401
2012-04-04,0.401,0.401,0.401
2012-04-05,0.393,0.393,0.393
2012-04-10,0.386,0.386,0.386
2012-04-11,0.383,0.383,0.383
2012-04-12,0.385,0.385,0.385
2012-04-13,0.393,0.393,0.393
2012-04-16,0.394,0.394,0.394
2012-04-17,0.388,0.388,0.388
2012-04-18,0.394,0.394,0.394
2012-04-19,0.398,0.398,0.398
2012-04-20,0.397,0.397,0.397
2012-04-23,0.388,0.388,0.388
2012-04-24,0.381,0.381,0.381
2012-04-25,0.375,0.375,0.375
2012-04-26,0.374,0.374,0.374
2012-04-27,0.339,0.339,0.339
2012-04-30,0.326,0.326,0.326
2012-05-01,0.326,0.326,0.326
2012-05-02,0.335,0.335,0.335
2012-05-03,0.331,0.331,0.331
2012-05-04,0.326,0.326,0.326
2012-05-08,0.313,0.313,0.313
2012-05-09,0.299,0.299,0.299
2012-05-10,0.299,0.299,0.299
2012-05-11,0.299,0.299,0.299
2012-05-14,0.303,0.303,0.303
2012-05-15,0.313,0.313,0.313
2012-05-16,0.297,0.297,0.297
2012-05-17,0.302,0.302,0.302
2012-05-18,0.313,0.313,0.313
2012-05-21,0.323,0.323,0.323
2012-05-22,0.326,0.326,0.326
2012-05-23,0.317,0.317,0.317
2012-05-24,0.312,0.312,0.312
2012-05-25,0.31,0.31,0.31
2012-05-28,0.31,0.31,0.31
2012-05-29,0.326,0.326,0.326
2012-05-30,0.317,0.317,0.317
2012-05-31,0.317,0.317,0.317
2012-06-01,0.326,0.326,0.326
2012-06-06,0.362,0.362,0.362
2012-06-07,0.356,0.356,0.356
2012-06-08,0.343,0.343,0.343
2012-06-11,0.353,0.353,0.353
2012-06-12,0.352,0.352,0.352
2012-06-13,0.353,0.353,0.353
2012-06-14,0.351,0.351,0.351
2012-06-15,0.363,0.363,0.363
2012-06-18,0.36,0.36,0.36
2012-06-19,0.362,0.362,0.362
2012-06-20,0.363,0.363,0.363
2012-06-21,0.348,0.348,0.348
2012-06-22,0.334,0.334,0.334
2012-06-25,0.331,0.331,0.331
2012-06-26,0.331,0.331,0.331
2012-06-27,0.329,0.329,0.329
2012-06-28,0.326,0.326,0.326
2012-06-29,0.335,0.335,0.335
2012-07-02,0.335,0.335,0.335
2012-07-03,0.339,0.339,0.339
2012-07-04,0.347,0.347,0.347
2012-07-05,0.352,0.352,0.352
2012-07-06,0.351,0.351,0.351
2012-07-09,0.346,0.346,0.346
2012-07-10,0.34,0.34,0.34
2012-07-11,0.335,0.335,0.335
2012-07-12,0.322,0.322,0.322
2012-07-13,0.324,0.324,0.324
2012-07-16,0.325,0.325,0.325
2012-07-17,0.326,0.326,0.326
2012-07-18,0.318,0.318,0.318
2012-07-19,0.325,0.325,0.325
2012-07-20,0.325,0.325,0.325
2012-07-23,0.309,0.309,0.309
2012-07-24,0.298,0.298,0.298
2012-07-25,0.295,0.295,0.295
2012-07-26,0.302,0.302,0.302
2012-07-27,0.311,0.311,0.311
2012-07-30,0.315,0.315,0.315
2012-07-31,0.321,0.321,0.321
2012-08-01,0.324,0.324,0.324
2012-08-02,0.319,0.319,0.319
2012-08-03,0.317,0.317,0.317
2012-08-06,0.335,0.335,0.335
2012-08-07,0.343,0.343,0.343
2012-08-08,0.339,0.339,0.339
2012-08-09,0.346,0.346,0.346
2012-08-10,0.336,0.336,0.336
2012-08-13,0.329,0.329,0.329
2012-08-14,0.327,0.327,0.327
2012-08-15,0.32,0.32,0.32
2012-08-16,0.321,0.321,0.321
2012-08-17,0.326,0.326,0.326
2012-08-20,0.324,0.324,0.324
2012-08-21,0.335,0.335,0.335
2012-08-22,0.326,0.326,0.326
2012-08-23,0.348,0.348,0.348
2012-08-24,0.339,0.339,0.339
2012-08-28,0.326,0.326,0.326
2012-08-29,0.322,0.322,0.322
2012-08-30,0.313,0.313,0.313
2012-08-31,0.313,0.313,0.313
2012-09-03,0.325,0.325,0.325
2012-09-04,0.322,0.322,0.322
2012-09-05,0.315,0.315,0.315
2012-09-06,0.33,0.33,0.33
2012-09-07,0.333,0.333,0.333
2012-09-10,0.348,0.348,0.348
2012-09-11,0.347,0.347,0.347
2012-09-12,0.352,0.352,0.352
2012-09-13,0.352,0.352,0.352
2012-09-14,0.392,0.392,0.392
2012-09-17,0.393,0.393,0.393
2012-09-18,0.39,0.39,0.39
2012-09-19,0.411,0.411,0.411
