Date,Close,High,Low
2022-06-22,28.417,28.417,28.417
2022-06-23,27.9,27.9,27.9
2022-06-24,27.806,27.806,27.806
2022-06-27,28.523,28.523,28.523
2022-06-28,29.682,29.682,29.682
2022-06-29,29.423,29.423,29.423
2022-06-30,28.467,28.467,28.467
2022-07-01,27.29,27.29,27.29
2022-07-04,27.387,27.387,27.387
2022-07-05,27.208,27.208,27.208
2022-07-06,25.582,25.582,25.582
2022-07-07,26.623,26.623,26.623
2022-07-08,26.889,26.889,26.889
2022-07-11,25.574,25.574,25.574
2022-07-12,25.308,25.308,25.308
2022-07-13,24.958,24.958,24.958
2022-07-14,25.234,25.234,25.234
2022-07-15,24.519,24.519,24.519
2022-07-18,25.184,25.184,25.184
2022-07-19,25.243,25.243,25.243
2022-07-20,25.55,25.55,25.55
2022-07-21,25.492,25.492,25.492
2022-07-22,25.449,25.449,25.449
2022-07-25,25.969,25.969,25.969
2022-07-26,26.552,26.552,26.552
2022-07-27,26.226,26.226,26.226
2022-07-28,26.767,26.767,26.767
2022-07-29,27.018,27.018,27.018
2022-08-01,27.46,27.46,27.46
2022-08-02,26.694,26.694,26.694
2022-08-03,26.807,26.807,26.807
2022-08-04,26.597,26.597,26.597
2022-08-05,26.814,26.814,26.814
2022-08-08,27.337,27.337,27.337
2022-08-09,27.034,27.034,27.034
2022-08-10,27.105,27.105,27.105
2022-08-11,27.816,27.816,27.816
2022-08-12,27.651,27.651,27.651
2022-08-15,27.33,27.33,27.33
2022-08-16,28.446,28.446,28.446
2022-08-17,28.317,28.317,28.317
2022-08-18,28.468,28.468,28.468
2022-08-19,28.553,28.553,28.553
2022-08-22,28.428,28.428,28.428
2022-08-23,28.732,28.732,28.732
2022-08-24,28.943,28.943,28.943
2022-08-25,29.449,29.449,29.449
2022-08-26,29.496,29.496,29.496
2022-08-30,28.603,28.603,28.603
2022-08-31,27.766,27.766,27.766
2022-09-01,25.451,25.451,25.451
2022-09-02,25.013,25.013,25.013
2022-09-05,25.76,25.76,25.76
2022-09-06,25.101,25.101,25.101
2022-09-07,24.551,24.551,24.551
2022-09-08,24.925,24.925,24.925
