Date,Close,High,Low
2015-08-05,11.82,11.82,11.82
2015-08-06,11.42,11.42,11.42
2015-08-07,11.78,11.78,11.78
2015-08-10,11.96,11.96,11.96
2015-08-11,11.46,11.46,11.46
2015-08-12,11.42,11.42,11.42
2015-08-13,11.34,11.34,11.34
2015-08-14,11.24,11.24,11.24
2015-08-17,11.17,11.17,11.17
2015-08-18,11.03,11.03,11.03
2015-08-19,10.56,10.56,10.56
2015-08-20,11.03,11.03,11.03
2015-08-21,10.92,10.92,10.92
2015-08-24,9.89,9.89,9.89
2015-08-25,10.18,10.18,10.18
2015-08-26,9.75,9.75,9.75
2015-08-27,10.62,10.62,10.62
2015-08-28,10.83,10.83,10.83
2015-09-01,9.94,9.94,9.94
2015-09-02,9.93,9.93,9.93
2015-09-03,10.5,10.5,10.5
2015-09-04,9.63,9.63,9.63
2015-09-07,9.83,9.83,9.83
2015-09-08,10.29,10.29,10.29
2015-09-09,10.84,10.84,10.84
2015-09-10,10.51,10.51,10.51
2015-09-11,10.52,10.52,10.52
2015-09-14,10.5,10.5,10.5
2015-09-15,10.71,10.71,10.71
2015-09-16,11.02,11.02,11.02
2015-09-17,10.88,10.88,10.88
2015-09-18,10.62,10.62,10.62
2015-09-21,10.23,10.23,10.23
2015-09-22,9.45,9.45,9.45
2015-09-23,9.53,9.53,9.53
2015-09-24,9.04,9.04,9.04
2015-09-25,8.86,8.86,8.86
2015-09-28,7.96,7.96,7.96
2015-09-29,7.81,7.81,7.81
2015-09-30,7.91,7.91,7.91
2015-10-01,7.97,7.97,7.97
2015-10-02,7.98,7.98,7.98
2015-10-05,8.33,8.33,8.33
2015-10-06,8.73,8.73,8.73
2015-10-07,9.66,9.66,9.66
2015-10-08,9.87,9.87,9.87
2015-10-09,10.56,10.56,10.56
2015-10-12,10.08,10.08,10.08
2015-10-13,9.83,9.83,9.83
2015-10-14,10.01,10.01,10.01
2015-10-15,9.93,9.93,9.93
2015-10-16,9.9,9.9,9.9
2015-10-19,9.18,9.18,9.18
2015-10-20,9.13,9.13,9.13
2015-10-21,8.85,8.85,8.85
2015-10-22,8.72,8.72,8.72
2015-10-23,8.87,8.87,8.87
2015-10-26,8.61,8.61,8.61
2015-10-27,8.1,8.1,8.1
2015-10-28,8.16,8.16,8.16
2015-10-29,7.81,7.81,7.81
2015-10-30,8.01,8.01,8.01
2015-11-02,7.97,7.97,7.97
2015-11-03,8.23,8.23,8.23
2015-11-04,8.46,8.46,8.46
2015-11-05,7.72,7.72,7.72
2015-11-06,7.51,7.51,7.51
2015-11-09,7.41,7.41,7.41
2015-11-10,7.06,7.06,7.06
2015-11-11,7.12,7.12,7.12
2015-11-12,6.51,6.51,6.51
2015-11-13,6.6,6.6,6.6
2015-11-16,6.55,6.55,6.55
2015-11-17,6.23,6.23,6.23
2015-11-18,6.5,6.5,6.5
2015-11-19,6.54,6.54,6.54
2015-11-20,6.44,6.44,6.44
2015-11-23,6.33,6.33,6.33
2015-11-24,6.47,6.47,6.47
2015-11-25,5.99,5.99,5.99
2015-11-26,6.25,6.25,6.25
2015-11-27,5.71,5.71,5.71
2015-11-30,5.84,5.84,5.84
2015-12-01,5.82,5.82,5.82
2015-12-02,5.64,5.64,5.64
2015-12-03,5.56,5.56,5.56
2015-12-04,5.4,5.4,5.4
2015-12-07,5.27,5.27,5.27
2015-12-08,4.61,4.61,4.61
2015-12-09,4.61,4.61,4.61
2015-12-10,4.59,4.59,4.59
2015-12-11,4.23,4.23,4.23
2015-12-14,4.04,4.04,4.04
2015-12-15,3.87,3.87,3.87
2015-12-16,3.96,3.96,3.96
2015-12-17,3.73,3.73,3.73
2015-12-18,3.94,3.94,3.94
2015-12-21,3.96,3.96,3.96
2015-12-22,4.17,4.17,4.17
2015-12-23,4.57,4.57,4.57
2015-12-24,4.65,4.65,4.65
2015-12-29,4.32,4.32,4.32
2015-12-30,4.24,4.24,4.24
2015-12-31,4.19,4.19,4.19
2016-01-04,3.88,3.88,3.88
2016-01-05,3.95,3.95,3.95
2016-01-06,3.76,3.76,3.76
2016-01-07,3.34,3.34,3.34
2016-01-08,3.16,3.16,3.16
2016-01-11,3.18,3.18,3.18
2016-01-12,3.19,3.19,3.19
2016-01-13,3.17,3.17,3.17
2016-01-14,3.6,3.6,3.6
2016-01-15,3.15,3.15,3.15
2016-01-18,3.15,3.15,3.15
2016-01-19,3.21,3.21,3.21
2016-01-20,2.98,2.98,2.98
2016-01-21,3.35,3.35,3.35
2016-01-22,3.07,3.07,3.07
2016-01-25,3.07,3.07,3.07
