Target,Model,Scheme,Transaction Cost,Cumulative Return (%),Average Daily Return (%),Maximum Drawdown (%),Sharpe Ratio,Number of Transactions,Hit Rate (%)
lithium_carbonate,ELM,Scheme 2',0.001,113.28744441455858,0.77173062918765,-20.7404958677686,5.265127194858109,14,53.92156862745098
lithium_carbonate,ES,Scheme 1,0.0,114.8198504418762,0.7873611126628165,-25.89531680440772,4.690370291208189,1,64.70588235294117
lithium_carbonate,ES,Scheme 1',0.0,114.8198504418762,0.7873611126628165,-25.89531680440772,4.690370291208189,1,64.70588235294117
lithium_carbonate,ES,Scheme 2,0.001,114.60503059143426,0.7863807205059539,-25.895316804407717,4.683983516774416,1,64.70588235294117
lithium_carbonate,ES,Scheme 2',0.001,114.60503059143426,0.7863807205059539,-25.895316804407717,4.683983516774416,1,64.70588235294117
lithium_carbonate,Fixed VMD-LASSO-ARIMA/LSTM,Scheme 1,0.0,291.69459821072786,1.3757687887370864,-6.597222222222224,9.056067457970556,14,74.50980392156863
lithium_carbonate,Fixed VMD-LASSO-ARIMA/LSTM,Scheme 1',0.0,231.80411879967312,1.2040442360946186,-5.0314465408804985,9.087138215115855,25,46.07843137254902
lithium_carbonate,Fixed VMD-LASSO-ARIMA/LSTM,Scheme 2,0.001,281.19260216535054,1.3492982005017924,-6.797222222222225,8.803578212510653,14,74.50980392156863
lithium_carbonate,Fixed VMD-LASSO-ARIMA/LSTM,Scheme 2',0.001,223.35556371696276,1.1785540400161874,-5.222585781386832,8.87605624759735,25,46.07843137254902
lithium_carbonate,LSTM,Scheme 1,0.0,-16.14393704547049,-0.133648471147146,-43.19011327941109,-0.7641127415539462,11,52.94117647058824
lithium_carbonate,LSTM,Scheme 1',0.0,11.735720059287068,0.1168202806623099,-16.349905628278783,1.467559381533211,15,28.431372549019606
lithium_carbonate,LSTM,Scheme 2,0.001,-17.93591735691016,-0.1542367064412637,-43.541904115700575,-0.8760066763411494,11,52.94117647058824
lithium_carbonate,LSTM,Scheme 2',0.001,10.060636123562029,0.1021143983093687,-16.859691483758237,1.2740060121286942,15,28.431372549019606
lithium_carbonate,MLP,Scheme 1,0.0,114.8198504418762,0.7873611126628165,-25.89531680440772,4.690370291208189,1,64.70588235294117
lithium_carbonate,MLP,Scheme 1',0.0,29.02110630752879,0.2618176588651734,-10.724637681159416,2.7123991844652307,13,32.35294117647059
lithium_carbonate,MLP,Scheme 2,0.001,114.60503059143426,0.7863807205059539,-25.895316804407717,4.683983516774416,1,64.70588235294117
lithium_carbonate,MLP,Scheme 2',0.001,27.342403731737463,0.2490725608259577,-10.909469565217396,2.5675581887934795,13,32.35294117647059
lithium_carbonate,Proposed Adaptive Decomposition-Routing Ensemble,Scheme 1,0.0,236.18692689703252,1.2256842507630596,-12.453697587140764,7.807791298085566,23,60.78431372549019
lithium_carbonate,Proposed Adaptive Decomposition-Routing Ensemble,Scheme 1',0.0,212.979685191124,1.150052619846741,-2.194357366771161,7.958180505942051,40,38.23529411764706
lithium_carbonate,Proposed Adaptive Decomposition-Routing Ensemble,Scheme 2,0.001,221.5337368834012,1.1815666037042365,-13.675153963590828,7.5185127775871905,23,60.78431372549019
lithium_carbonate,Proposed Adaptive Decomposition-Routing Ensemble,Scheme 2',0.001,198.47760218535717,1.1029937963173295,-3.0218718550482104,7.640083640535173,40,38.23529411764706
lithium_carbonate,RF,Scheme 1,0.0,36.8637966135902,0.3457254510466694,-23.311992230425112,1.9899224683581345,8,55.88235294117647
lithium_carbonate,RF,Scheme 1',0.0,-1.921722386543201,0.0062985616930298,-21.293951107796783,0.0442437236103737,7,18.62745098039216
lithium_carbonate,RF,Scheme 2,0.001,34.83294953834803,0.3310195686937283,-23.311992230425105,1.905920823350794,8,55.88235294117647
lithium_carbonate,RF,Scheme 2',0.001,-2.6105882833724725,-0.0005641834050093,-21.45393485940343,-0.0039598389547888,7,18.62745098039216
lithium_carbonate,SVR,Scheme 1,0.0,112.3534418102465,0.776303828127326,-16.696613946557896,4.618826126714415,9,67.64705882352942
lithium_carbonate,SVR,Scheme 1',0.0,25.288919102651278,0.222826365136178,-0.7477906186267869,6.285940222996693,2,21.568627450980397
lithium_carbonate,SVR,Scheme 2,0.001,108.68826929694126,0.7596371614606594,-17.053798267443366,4.488075261578354,9,67.64705882352942
lithium_carbonate,SVR,Scheme 2',0.001,25.038466553365037,0.2208655808224525,-0.7477906186267866,6.220061548663891,2,21.568627450980397
lithium_carbonate,VMD-ARIMA,Scheme 1,0.0,407.5560561771261,1.6295154850635918,-2.1943573667711567,11.515899007176609,17,75.49019607843137
lithium_carbonate,VMD-ARIMA,Scheme 1',0.0,287.09789694412694,1.3589241711884843,-2.3348813209494303,9.81502998559884,32,46.07843137254902
lithium_carbonate,VMD-ARIMA,Scheme 2,0.001,391.1897052445669,1.597162543887121,-2.394357366771154,11.222731714332737,17,75.49019607843137
lithium_carbonate,VMD-ARIMA,Scheme 2',0.001,273.55698525293286,1.3236300535414256,-2.7272712050857564,9.545796852423402,32,46.07843137254902
lithium_carbonate,VMD-LSTM,Scheme 1,0.0,-7.174960275354748,-0.035068986753524,-29.44725250924243,-0.200282989369614,15,39.21568627450981
lithium_carbonate,VMD-LSTM,Scheme 1',0.0,10.671190940077292,0.1011400146415835,0.0,2.7154233268038883,8,3.92156862745098
lithium_carbonate,VMD-LSTM,Scheme 2,0.001,-9.834158744729828,-0.0635003593025436,-30.570225120154724,-0.3626948893793081,15,39.21568627450981
