Target,Model,Nominal Coverage (%),Coverage (%),Avg Width,Sharpness,Calibration Error,Winkler
lithium_hydroxide,CEEMDAN-ARIMA,80.0,0.0,31.295181722137954,31.295181722137954,80.0,769.4345401017912
lithium_hydroxide,CEEMDAN-ARIMA,90.0,0.0,40.98789086978468,40.98789086978468,90.0,1420.339516152624
lithium_hydroxide,CEEMDAN-ARIMA,95.0,0.0,46.09990614948107,46.09990614948107,95.0,2702.5628511212312
lithium_hydroxide,CEEMDAN-LSTM,80.0,11.428571428571429,3.3321363449096673,3.3321363449096673,68.57142857142857,43.334154020036976
lithium_hydroxide,CEEMDAN-LSTM,90.0,48.57142857142857,5.840638275146487,5.840638275146487,41.42857142857143,68.94597820463635
lithium_hydroxide,CEEMDAN-LSTM,95.0,55.23809523809524,12.171042251586915,12.171042251586915,39.76190476190475,80.86017313276018
lithium_hydroxide,ELM,80.0,2.857142857142857,0.5713529488534341,0.5713529488534341,77.14285714285715,27.637060409460965
lithium_hydroxide,ELM,90.0,7.6190476190476195,0.7582305609663855,0.7582305609663855,82.38095238095238,53.133316599238235
lithium_hydroxide,ELM,95.0,15.238095238095239,1.4188192343782795,1.4188192343782795,79.76190476190476,94.57181272535962
lithium_hydroxide,ES,80.0,18.095238095238095,1.8027891792279294,1.8027891792279294,61.904761904761905,36.049297153028455
lithium_hydroxide,ES,90.0,19.047619047619047,1.864734649491595,1.864734649491595,70.95238095238095,69.85317770013243
lithium_hydroxide,ES,95.0,20.0,1.9051669762168544,1.9051669762168544,75.0,137.22945197904556
lithium_hydroxide,Fixed VMD-LASSO-ARIMA/LSTM,80.0,0.0,2.7409119918338085,2.7409119918338085,80.0,45.320291938267985
lithium_hydroxide,Fixed VMD-LASSO-ARIMA/LSTM,90.0,0.0,2.944790439032225,2.944790439032225,90.0,86.06476585991642
lithium_hydroxide,Fixed VMD-LASSO-ARIMA/LSTM,95.0,1.9047619047619049,3.0547361173427845,3.0547361173427845,93.09523809523809,167.10940120535784
lithium_hydroxide,LSTM,80.0,6.666666666666667,1.6457733917236348,1.6457733917236348,73.33333333333334,13.954049555460603
lithium_hydroxide,LSTM,90.0,61.904761904761905,4.397807235717776,4.397807235717776,28.095238095238095,11.766091893513982
lithium_hydroxide,LSTM,95.0,99.04761904761905,8.69969444274902,8.69969444274902,4.047619047619055,8.770069649105977
lithium_hydroxide,MLP,80.0,0.0,4.077829839729592,4.077829839729592,80.0,36.69735525025971
lithium_hydroxide,MLP,90.0,1.9047619047619049,4.648498441258379,4.648498441258379,88.09523809523809,64.21369341789344
lithium_hydroxide,MLP,95.0,2.857142857142857,4.734522695109909,4.734522695109909,92.14285714285714,122.18721317183298
lithium_hydroxide,Proposed Adaptive Decomposition-Routing Ensemble,80.0,51.42857142857142,0.39606900675407164,0.39606900675407164,28.57142857142858,1.418197754655581
lithium_hydroxide,Proposed Adaptive Decomposition-Routing Ensemble,90.0,56.19047619047619,0.4632684646390217,0.4632684646390217,33.80952380952381,2.202827485800647
