Target,Model,Scheme,Transaction Cost,Cumulative Return (%),Average Daily Return (%),Maximum Drawdown (%),Sharpe Ratio,Number of Transactions,Hit Rate (%)
lithium_carbonate,LSTM,Scheme 1',0.0,7.534246575342474,0.07174577891518528,0.0,3.5412559450921623,2,7.8431372549019605
lithium_carbonate,LSTM,Scheme 2,0.001,114.95108322852094,0.7880932108522738,-25.895316804407713,4.686870866755868,3,64.70588235294117
lithium_carbonate,LSTM,Scheme 2',0.001,7.3192856164383535,0.06978499460145979,-0.10000000000000556,3.4365389591005626,2,7.8431372549019605
lithium_carbonate,MLP,Scheme 1,0.0,-56.94995922645556,-0.7873611126628165,-61.48137047189406,-4.690370291208189,1,29.411764705882355
lithium_carbonate,MLP,Scheme 1',0.0,0.0,0.0,0.0,0.0,0,0.0
lithium_carbonate,MLP,Scheme 2,0.001,-56.99300926722908,-0.7883415048196794,-61.481370471894046,-4.696693763214292,1,29.411764705882355
lithium_carbonate,MLP,Scheme 2',0.001,0.0,0.0,0.0,0.0,0,0.0
lithium_carbonate,Proposed Adaptive Decomposition-Routing Ensemble,Scheme 1,0.0,213.98046568443468,1.1586892860455489,-17.144874544141654,7.286982173646076,21,55.88235294117647
lithium_carbonate,Proposed Adaptive Decomposition-Routing Ensemble,Scheme 1',0.0,241.56049996650114,1.2384090889743467,-3.850435455608825,8.303986946505395,35,45.09803921568628
lithium_carbonate,Proposed Adaptive Decomposition-Routing Ensemble,Scheme 2,0.001,201.5355409468897,1.1184932076141763,-17.643356074433623,7.048850847978436,21,55.88235294117647
lithium_carbonate,Proposed Adaptive Decomposition-Routing Ensemble,Scheme 2',0.001,227.0184702469792,1.1952718340723862,-4.906639209260362,8.013758413526265,35,45.09803921568628
lithium_carbonate,RF,Scheme 1,0.0,-11.761714787151224,-0.08404529027144529,-47.35462637204319,-0.48017536783834863,14,54.90196078431373
lithium_carbonate,RF,Scheme 1',0.0,-29.04198752590885,-0.31077719681036037,-39.02483829884058,-2.213795031138198,19,20.588235294117645
lithium_carbonate,RF,Scheme 2,0.001,-14.119595966851772,-0.11051587850673941,-47.88191442201749,-0.6309565114177778,14,54.90196078431373
lithium_carbonate,RF,Scheme 2',0.001,-30.380916143505566,-0.3294046477907525,-39.63554630416957,-2.347413954202754,19,20.588235294117645
lithium_carbonate,Random Walk,Scheme 1,0.0,0.0,0.0,0.0,0.0,0,0.0
lithium_carbonate,Random Walk,Scheme 1',0.0,0.0,0.0,0.0,0.0,0,0.0
lithium_carbonate,Random Walk,Scheme 2,0.001,0.0,0.0,0.0,0.0,0,0.0
lithium_carbonate,Random Walk,Scheme 2',0.001,0.0,0.0,0.0,0.0,0,0.0
lithium_carbonate,SVR,Scheme 1,0.0,31.746064567371057,0.3086442865317434,-31.490602239027886,1.7736365103249323,2,59.80392156862745
lithium_carbonate,SVR,Scheme 1',0.0,4.958677685950419,0.04861448711716092,0.0,1.5718104956666155,2,0.9803921568627451
lithium_carbonate,SVR,Scheme 2,0.001,31.338090920760607,0.30570311006115514,-31.63438739482253,1.7543276575420341,2,59.80392156862745
lithium_carbonate,SVR,Scheme 2',0.001,4.753819008264459,0.04665370280343542,-0.09999999999999805,1.5388205385550202,2,0.9803921568627451
lithium_carbonate,VMD-ARIMA,Scheme 1,0.0,-52.769261691618,-0.69650001710223,-59.59009028138681,-4.109889100933052,3,35.294117647058826
lithium_carbonate,VMD-ARIMA,Scheme 1',0.0,-41.78420912360332,-0.4937833494960098,-47.521573081116955,-2.9580888472828084,1,17.647058823529413
lithium_carbonate,VMD-ARIMA,Scheme 2,0.001,-53.007628495482976,-0.7014019778865437,-59.67302268323558,-4.137499488325677,3,35.294117647058826
lithium_carbonate,VMD-ARIMA,Scheme 2',0.001,-41.84272042610851,-0.4947637416528726,-47.574317895989736,-2.9639366447283995,1,17.647058823529413
lithium_carbonate,VMD-LSTM,Scheme 1,0.0,-53.34368958996316,-0.7084966580427666,-59.5900902813868,-4.185603664035531,2,34.31372549019608
lithium_carbonate,VMD-LSTM,Scheme 1',0.0,-50.523726912175285,-0.6520099564294698,-55.39978170234183,-3.887683906663657,1,24.509803921568626
lithium_carbonate,VMD-LSTM,Scheme 2,0.001,-53.48600190630688,-0.7114378345133548,-59.67302268323558,-4.201127740946373,2,34.31372549019608
lithium_carbonate,VMD-LSTM,Scheme 2',0.001,-50.57367692575949,-0.6529903485863326,-55.44480897240058,-3.893341480249626,1,24.509803921568626
lithium_hydroxide,ARIMA,Scheme 1,0.0,-62.03339519395898,-0.7850593690015629,-64.12698607766404,-2.6904857121466974,1,23.809523809523807
lithium_hydroxide,ARIMA,Scheme 1',0.0,-59.67156467987105,-0.728013982505175,-62.764752414953804,-2.494926276442016,5,22.857142857142858
lithium_hydroxide,ARIMA,Scheme 2,0.001,-62.071361798765025,-0.7860117499539437,-64.12698607766404,-2.693838425867225,1,23.809523809523807
lithium_hydroxide,ARIMA,Scheme 2',0.001,-59.87196235171998,-0.73277588726708,-62.83945056407914,-2.5118694366202563,5,22.857142857142858
lithium_hydroxide,CEEMDAN-ARIMA,Scheme 1,0.0,-62.03339519395898,-0.7850593690015629,-64.12698607766404,-2.6904857121466974,1,23.809523809523807
lithium_hydroxide,CEEMDAN-ARIMA,Scheme 1',0.0,-62.03339519395898,-0.7850593690015629,-64.12698607766404,-2.6904857121466974,1,23.809523809523807
lithium_hydroxide,CEEMDAN-ARIMA,Scheme 2,0.001,-62.071361798765025,-0.7860117499539437,-64.12698607766404,-2.693838425867225,1,23.809523809523807
lithium_hydroxide,CEEMDAN-ARIMA,Scheme 2',0.001,-62.071361798765025,-0.7860117499539437,-64.12698607766404,-2.693838425867225,1,23.809523809523807
lithium_hydroxide,CEEMDAN-LSTM,Scheme 1,0.0,-62.03339519395898,-0.7850593690015629,-64.12698607766404,-2.6904857121466974,1,23.809523809523807
lithium_hydroxide,CEEMDAN-LSTM,Scheme 1',0.0,-52.87000210653444,-0.583889344985449,-57.37779792142245,-2.031872555665767,3,16.19047619047619
