Target,Ablation,Mode,Route,LASSO Alpha,LASSO Validation MSE,Selected Feature Count,Selected Features,Empty-selection Fallback,ARIMA Order
lithium_hydroxide,full_multimodal,3,LSTM source sequence-major layout,0.001,1.2962654536396382e-05,4,target_1 | target_5 | Ganfeng_Lithium_Close | Cross_Lithium_Close,False,
lithium_hydroxide,full_multimodal,4,LSTM source sequence-major layout,0.0015000000000000002,5.0987557804597886e-05,6,target_1 | target_3 | News_FinBERT_Score | News_TextBlob_Polarity | News_Article_Count | Cross_Lithium_Close,False,
lithium_hydroxide,full_multimodal,5,LSTM source sequence-major layout,0.0012000000000000001,0.00017758651557111928,7,target_1 | target_2 | target_4 | target_5 | VIX | News_TextBlob_Polarity | Cross_Lithium_Close,False,
lithium_hydroxide,full_multimodal,6,LSTM source sequence-major layout,0.0025000000000000005,0.0003123414009632301,6,target_2 | target_4 | target_3 | VIX | Cross_Lithium_Close | News_TextBlob_Polarity,False,
lithium_hydroxide,full_multimodal,7,LSTM source sequence-major layout,0.0022000000000000006,0.00046450668688166743,7,target_2 | target_1 | target_5 | target_4 | News_FinBERT_Score | VIX | Cross_Lithium_Close,False,
lithium_hydroxide,full_multimodal,8,LSTM source sequence-major layout,0.0015000000000000002,0.00018515820238659947,6,target_1 | target_2 | News_FinBERT_Score | VIX | Cross_Lithium_Close | News_TextBlob_Polarity,False,
lithium_hydroxide,full_multimodal,9,LSTM source sequence-major layout,0.001,0.00012453833243077406,8,target_1 | target_2 | target_3 | target_5 | News_FinBERT_Score | News_Article_Count | Cross_Lithium_Close | VIX,False,
lithium_carbonate,history_only,1,ARIMA observed-test apply path,0.0025000000000000005,4.6388912601021894e-07,1,target_1,False,"(1, 2, 3)"
lithium_carbonate,history_only,2,ARIMA observed-test apply path,0.016600000000000007,5.310170293684044e-06,1,target_1,False,"(1, 2, 3)"
lithium_carbonate,history_only,3,LSTM source sequence-major layout,0.001,2.8305536300762914e-05,2,target_1 | target_5,False,
lithium_carbonate,history_only,4,LSTM source sequence-major layout,0.001,0.00010506181823126165,2,target_1 | target_5,False,
lithium_carbonate,history_only,5,LSTM source sequence-major layout,0.001,0.0006594182974506342,3,target_1 | target_3 | target_4,False,
lithium_carbonate,history_only,6,LSTM source sequence-major layout,0.001,0.0014700382215456023,5,target_2 | target_3 | target_5 | target_4 | target_1,False,
lithium_carbonate,history_only,7,LSTM source sequence-major layout,0.001,0.002741480996884614,5,target_1 | target_2 | target_5 | target_3 | target_4,False,
lithium_carbonate,history_only,8,LSTM source sequence-major layout,0.001,0.0026400191535668038,4,target_1 | target_2 | target_3 | target_4,False,
lithium_carbonate,history_plus_cross_lithium,1,ARIMA observed-test apply path,0.0012000000000000001,5.419506758336649e-07,6,target_1 | Cross_Lithium_Close | target_5 | target_4 | target_3 | target_2,False,"(5, 0, 2)"
