Target,Model,Nominal Coverage (%),Coverage (%),Avg Width,Sharpness,Calibration Error,Winkler
lithium_carbonate,Proposed Adaptive Decomposition-Routing Ensemble,80.0,18.627450980392158,1967.125023301196,1967.125023301196,61.372549019607845,15537.723330498366
lithium_carbonate,Proposed Adaptive Decomposition-Routing Ensemble,90.0,25.49019607843137,2314.3946062060713,2314.3946062060713,64.50980392156863,26759.032270094714
lithium_carbonate,Proposed Adaptive Decomposition-Routing Ensemble,95.0,100.0,30581.88873162255,30581.88873162255,5.000000000000004,30581.88873162255
lithium_carbonate,RF,80.0,30.392156862745097,4086.000000000058,4086.000000000058,49.60784313725491,41367.264705882204
lithium_carbonate,RF,90.0,52.94117647058824,7107.600000000039,7107.600000000039,37.05882352941177,64845.9921568626
lithium_carbonate,RF,95.0,59.80392156862745,8056.0,8056.0,35.19607843137255,115405.49019607845
lithium_carbonate,Random Walk,80.0,58.82352941176471,2300.0,2300.0,21.176470588235297,19324.50980392157
lithium_carbonate,Random Walk,90.0,66.66666666666666,3200.0,3200.0,23.33333333333334,33876.470588235294
lithium_carbonate,Random Walk,95.0,66.66666666666666,3800.0,3800.0,28.333333333333332,61152.94117647059
lithium_carbonate,SVR,80.0,94.11764705882352,99549.78642554388,99549.78642554388,14.117647058823524,100561.43520011129
lithium_carbonate,SVR,90.0,99.01960784313727,100757.68430843085,100757.68430843085,9.019607843137257,102304.69931623223
lithium_carbonate,SVR,95.0,99.01960784313727,101553.06040860646,101553.06040860646,4.019607843137263,104491.13432613554
lithium_carbonate,VMD-ARIMA,80.0,32.35294117647059,28664.24222364389,28664.24222364389,47.64705882352941,274058.1561987616
lithium_carbonate,VMD-ARIMA,90.0,50.0,34471.70899490513,34471.70899490513,40.0,489954.76178922673
lithium_carbonate,VMD-ARIMA,95.0,50.98039215686274,35963.25171939237,35963.25171939237,44.01960784313725,932052.0726465131
lithium_carbonate,VMD-LSTM,80.0,21.568627450980394,11259.15625,11259.15625,58.43137254901961,364844.57061887253
lithium_carbonate,VMD-LSTM,90.0,23.52941176470588,14143.296875,14143.296875,66.47058823529413,698926.7236519608
lithium_carbonate,VMD-LSTM,95.0,26.47058823529412,19728.421875,19728.421875,68.52941176470588,1305017.8673406863
lithium_hydroxide,ARIMA,80.0,16.19047619047619,1.8504889194151062,1.8504889194151062,63.80952380952382,37.16633184419596
lithium_hydroxide,ARIMA,90.0,17.142857142857142,1.8915286361388404,1.8915286361388404,72.85714285714286,72.18245826741912
lithium_hydroxide,ARIMA,95.0,17.142857142857142,1.924868628994691,1.924868628994691,77.85714285714285,141.95423658137258
lithium_hydroxide,CEEMDAN-ARIMA,80.0,49.523809523809526,7.908781303482527,7.908781303482527,30.476190476190478,42.23192197159101
lithium_hydroxide,CEEMDAN-ARIMA,90.0,50.476190476190474,8.271481624570749,8.271481624570749,39.523809523809526,75.1177057721232
lithium_hydroxide,CEEMDAN-ARIMA,95.0,50.476190476190474,8.323056696635932,8.323056696635932,44.52380952380952,141.50466618271423
lithium_hydroxide,CEEMDAN-LSTM,80.0,11.428571428571429,3.387611579895019,3.387611579895019,68.57142857142857,43.39494067600796
lithium_hydroxide,CEEMDAN-LSTM,90.0,48.57142857142857,5.8579684448242215,5.8579684448242215,41.42857142857143,69.16657905941918
lithium_hydroxide,CEEMDAN-LSTM,95.0,55.23809523809524,12.18479232788086,12.18479232788086,39.76190476190475,81.26011462257021
lithium_hydroxide,ELM,80.0,2.857142857142857,0.5713529488753686,0.5713529488753686,77.14285714285715,27.637060415912796
lithium_hydroxide,ELM,90.0,7.6190476190476195,0.7582305622804988,0.7582305622804988,82.38095238095238,53.133316600669836
lithium_hydroxide,ELM,95.0,15.238095238095239,1.4188192343534567,1.4188192343534567,79.76190476190476,94.57181274795188
lithium_hydroxide,ES,80.0,18.095238095238095,1.802788950161652,1.802788950161652,61.904761904761905,36.04929205791951
lithium_hydroxide,ES,90.0,19.047619047619047,1.8647345620892217,1.8647345620892217,70.95238095238095,69.85316678481072
lithium_hydroxide,ES,95.0,20.0,1.905166920295347,1.905166920295347,75.0,137.22942990450585
lithium_hydroxide,Fixed VMD-LASSO-ARIMA/LSTM,80.0,0.0,3.1142884007192455,3.1142884007192455,80.0,44.70288888098158
lithium_hydroxide,Fixed VMD-LASSO-ARIMA/LSTM,90.0,0.0,3.3407838305457034,3.3407838305457034,90.0,84.25303049280582
lithium_hydroxide,Fixed VMD-LASSO-ARIMA/LSTM,95.0,1.9047619047619049,3.4613432798655324,3.4613432798655324,93.09523809523809,162.88762433270915
lithium_hydroxide,LSTM,80.0,8.571428571428571,1.4298729705810567,1.4298729705810567,71.42857142857143,13.86775535220191
lithium_hydroxide,LSTM,90.0,63.8095238095238,4.264691467285159,4.264691467285159,26.190476190476197,11.751164579845597
lithium_hydroxide,LSTM,95.0,99.04761904761905,8.635941314697263,8.635941314697263,4.047619047619055,8.704216984340121
lithium_hydroxide,MLP,80.0,0.0,4.077829839729591,4.077829839729591,80.0,36.697355250259704
lithium_hydroxide,MLP,90.0,1.9047619047619049,4.64849844125838,4.64849844125838,88.09523809523809,64.21369341789342
lithium_hydroxide,MLP,95.0,2.857142857142857,4.734522695109914,4.734522695109914,92.14285714285714,122.18721317183285
lithium_hydroxide,Proposed Adaptive Decomposition-Routing Ensemble,80.0,52.38095238095239,0.3874215634862921,0.3874215634862921,27.61904761904762,1.367736643445874
lithium_hydroxide,Proposed Adaptive Decomposition-Routing Ensemble,90.0,60.0,0.472130860285855,0.472130860285855,30.000000000000004,2.0627458562428123
lithium_hydroxide,Proposed Adaptive Decomposition-Routing Ensemble,95.0,100.0,1.5291753278192681,1.5291753278192681,5.000000000000004,1.5291753278192681
lithium_hydroxide,RF,80.0,37.142857142857146,1.0854847619047692,1.0854847619047692,42.85714285714286,7.933151700680267
lithium_hydroxide,RF,90.0,41.904761904761905,1.4148000000000027,1.4148000000000027,48.095238095238095,13.127314285714291
lithium_hydroxide,RF,95.0,42.857142857142854,1.4913999999999987,1.4913999999999987,52.14285714285714,24.036466666666712
